Contract,Version,Procurement Type,Description,Max Amt,Begin Dt,Expire Dt,Supplier,Dept,Agency Name,Contract Duration (Days),Vendor Frequency,Total Agency Spend,Risk Score,Risk Level
0000000261-1,1,EXI EXEMPT INTERLOCAL,SHE SL Area Gang Project OT,0,10/22/2024,6/30/2028,SANDY CITY,9120000000,COUNTY JAIL,1347,24," $4,453,619.62 ",2,Low Risk
2093,1,CON PAR53685,PAR Redwood Recreation Racquet,111700,1/3/2019,5/26/2020,STALLINGS CONSTRUCTION INC,3630000000,PARKS,509,785," $180,440,543.41 ",2,Low Risk
2093,2,CON PAR53685,PAR Redwood Recreation Racquet,124320.1,1/3/2019,5/26/2020,STALLINGS CONSTRUCTION INC,3630000000,PARKS,509,785," $180,440,543.41 ",2,Low Risk
2093,3,CON PAR53685,PAR Redwood Recreation Racquet,124320.1,1/3/2019,4/25/2020,STALLINGS CONSTRUCTION INC,3630000000,PARKS,478,785," $180,440,543.41 ",2,Low Risk
2097,1,RFP PDE51313,PDE Geologic Consulting Pool,0,1/10/2019,1/9/2024,KLEINFELDER INC,4050000000,PLANNING AND DEVELOPMENT SVCS,1825,30, $-   ,0,Low Risk
2097,2,RFP PDE51313,PDE Geologic Consulting Pool,0,1/10/2019,7/22/2020,KLEINFELDER INC,4050000000,PLANNING AND DEVELOPMENT SVCS,559,30, $-   ,0,Low Risk
2099,1,EXI EXEMPT INTERLOCAL,DRD ConceptDrawingsFoothill Dr,25000,1/14/2019,1/13/2021,STATE OF UTAH,1025000000,"RGNL TRANS, HOUSNG & ECON DEV",730,106," $379,292,208.65 ",5,Medium Risk
2101,1,RFP LIB46344,CW Catering Services @ Viridia,0,1/16/2019,1/15/2024,APPLE SPICE JUNCTION,2500000000,LIBRARY FUND,1825,3," $302,993,516.62 ",0,Low Risk
2101,2,RFP LIB46344,CW Catering Services @ Viridia,0,1/16/2019,6/15/2024,APPLE SPICE JUNCTION,2500000000,LIBRARY FUND,1977,3," $302,993,516.62 ",0,Low Risk
2103,1,RFP LIB46344,CW Catering Services @ Viridia,0,1/16/2019,1/15/2024,CUISINE UNLIMITED INC,2500000000,LIBRARY FUND,1825,3," $302,993,516.62 ",0,Low Risk
2107,1,RFP LIB46344,CW Catering Services @ Viridia,0,1/16/2019,1/15/2024,UTAH FOOD SERVICES LLC,2500000000,LIBRARY FUND,1825,4," $302,993,516.62 ",0,Low Risk
2107,2,RFP LIB46344,CW Catering Services @ Viridia,0,1/16/2019,6/15/2024,UTAH FOOD SERVICES LLC,2500000000,LIBRARY FUND,1977,4," $302,993,516.62 ",0,Low Risk
2110,1,RFP LIB46344,CW Catering Services @ Viridia,0,1/16/2019,1/15/2024,GOOD DAY CATERING INC,2500000000,LIBRARY FUND,1825,4," $302,993,516.62 ",0,Low Risk
2110,2,RFP LIB46344,CW Catering Services @ Viridia,0,1/16/2019,6/15/2024,GOOD DAY CATERING INC,2500000000,LIBRARY FUND,1977,4," $302,993,516.62 ",0,Low Risk
2113,1,EXI EXEMPT INTERLOCAL,DRD Transportation:UrbanMulti-,6201375.91,1/17/2019,12/31/2024,SALT LAKE CITY,1025000000,"RGNL TRANS, HOUSNG & ECON DEV",2175,33," $379,292,208.65 ",7,High Risk
2114,1,EXI EXEMPT INTERLOCAL,DRD Transportation:Asphalt Tra,90000,1/17/2019,12/31/2024,HERRIMAN CITY,1025000000,"RGNL TRANS, HOUSNG & ECON DEV",2175,33," $379,292,208.65 ",5,Medium Risk
